,Acute Geriatric Care Unit,Back Home,Rehabilitation,p_value,charmi_postop_3_r,p_value,bi_postop_3_r,p_value
sensor_worn_s,314742.90812499996,229073.7609,365223.0,0.0855,-0.1024,0.5585,-0.0962,0.5711
mean_x,0.3137071928324809,0.3442,0.3879,0.3779,0.3559,0.0359,0.3143,0.0582
mean_y,-0.0662422723430442,0.034,-0.0415,0.2782,0.0909,0.6034,0.2499,0.1357
mean_z,0.8641617694766132,0.5695,0.576,0.0003,-0.7429,0.0,-0.69,0.0
standard_deviation_x,0.22426372091800814,0.3015,0.3021,0.0389,0.6649,0.0,0.552,0.0004
standard_deviation_y,0.19543350504559276,0.3346,0.4903,0.0055,0.618,0.0001,0.5995,0.0001
standard_deviation_z,0.24597394230754135,0.473,0.4848,0.0,0.7388,0.0,0.7244,0.0
skewness_x,1.2327076163748445,0.9202,1.2579,0.5533,-0.3068,0.073,-0.1023,0.547
skewness_y,0.13721162161340567,0.0272,-0.4385,0.673,-0.0929,0.5955,-0.0182,0.9149
skewness_z,-3.5484698446309477,-1.1589,-0.5362,0.0006,0.7586,0.0,0.6844,0.0
kurtosis_x,3.279566122321537,1.4426,0.1307,0.3146,-0.5103,0.0017,-0.4055,0.0128
kurtosis_y,3.3061263867310506,2.189,0.4603,0.1463,-0.4312,0.0097,-0.3559,0.0306
kurtosis_z,19.192199694327453,1.8284,-1.3559,0.0003,-0.747,0.0,-0.6941,0.0
range_x,5.5620269775390625,6.62,2.6777,0.2738,0.1413,0.4182,0.1056,0.534
range_y,5.112823486328125,4.854,2.595,0.3607,0.0269,0.878,-0.0547,0.7478
range_z,5.6907958984375,6.1798,3.2837,0.6737,0.117,0.5032,0.0153,0.9282
interquartile_range_x,0.2134857177734375,0.3723,0.2136,0.0665,0.5801,0.0003,0.418,0.0101
interquartile_range_y,0.227386474609375,0.3825,0.292,0.0522,0.5256,0.0012,0.4353,0.0071
interquartile_range_z,0.1248931884765625,0.7197,0.8999,0.0013,0.6747,0.0,0.6077,0.0001
range_count_percentage_x,0.9609150588171582,0.9438,0.9145,0.2255,-0.4537,0.0062,-0.4026,0.0135
range_count_percentage_y,0.9904529865122632,0.9767,0.8748,0.1545,-0.2665,0.1218,-0.1898,0.2606
range_count_percentage_z,0.7455555820700266,0.825,0.7958,0.223,0.3676,0.0298,0.2586,0.1222
ratio_beyond_r_sigma_x,0.055143205748976624,0.0456,0.1082,0.3104,-0.2673,0.1205,-0.1243,0.4637
ratio_beyond_r_sigma_y,0.04981432057016903,0.0414,0.0946,0.2015,-0.1531,0.3798,-0.1388,0.4127
